Year,Name,Place,Lat,Long,Mass_KG
1974,Yamato 74001,Antarctica,-71.83333333,36.26666667,0.246
1974,Yamato 74002,Antarctica,-71.81666667,36.25,0.0697
1974,Yamato 74003,Antarctica,-71.5,35.66666667,0.0155
1974,Yamato 74004,Antarctica,-71.5,35.66666667,0.0081
1974,Yamato 74005,Antarctica,-71.5,35.66666667,0.0037
1974,Yamato 74006,Antarctica,-71.5,35.66666667,0.0358
1974,Yamato 74007,Antarctica,-71.5,35.66666667,0.1623
1974,Yamato 74008,Antarctica,-71.5,35.66666667,0.0143
1974,Yamato 74009,Antarctica,-71.5,35.66666667,0.009
1974,Yamato 74010,Antarctica,-71.5,35.66666667,0.299
1974,Yamato 74011,Antarctica,-71.81666667,36.28333333,0.206
1974,Yamato 74012,Antarctica,-71.83333333,36.28333333,0.0754
1974,Yamato 74013,Antarctica,-71.83333333,36.3,2.06
1974,Yamato 74014,Antarctica,-71.83333333,36.3,2.37
1974,Yamato 74015,Antarctica,-71.8,36.23333333,0.088
1974,Yamato 74016,Antarctica,-71.5,35.66666667,0.0115
1974,Yamato 74017,Antarctica,-71.5,35.66666667,0.00323
1974,Yamato 74018,Antarctica,-71.5,35.66666667,0.0053
1974,Yamato 74019,Antarctica,-71.5,35.66666667,0.006
1974,Yamato 74020,Antarctica,-71.5,35.66666667,0.00056
1974,Yamato 74021,Antarctica,-71.78333333,36.16666667,0.0393
1974,Yamato 74022,Antarctica,-71.83333333,36.31666667,0.0347
1974,Yamato 74023,Antarctica,-71.5,35.66666667,0.0063
1974,Yamato 74024,Antarctica,-71.81666667,36.25,0.05
1974,Yamato 74025,Antarctica,-71.5,35.66666667,0.014
1974,Yamato 74026,Antarctica,-71.5,35.66666667,0.0052
1974,Yamato 74027,Antarctica,-71.5,35.66666667,0.0357
1974,Yamato 74028,Antarctica,-71.5,35.66666667,0.0902
1974,Yamato 74029,Antarctica,-71.5,35.66666667,0.0043
1974,Yamato 74030,Antarctica,-71.5,35.66666667,0.0078
1974,Yamato 74031,Antarctica,-71.5,35.66666667,0.0061
1974,Yamato 74032,Antarctica,-71.5,35.66666667,0.0141
1974,Yamato 74033,Antarctica,-71.5,35.66666667,0.0029
1974,Yamato 74034,Antarctica,-71.5,35.66666667,0.0276
1974,Yamato 74035,Antarctica,-71.8,36.13333333,0.1157
1974,Yamato 74036,Antarctica,-71.8,36.18333333,0.201
1974,Yamato 74037,Antarctica,-71.5,35.66666667,0.592
1974,Yamato 74038,Antarctica,-71.81666667,36.23333333,0.209
1974,Yamato 74039,Antarctica,-71.81666667,36.23333333,0.0476
1974,Yamato 74040,Antarctica,-71.5,35.66666667,0.0352
1974,Yamato 74041,Antarctica,-71.5,35.66666667,0.00179
1974,Yamato 74042,Antarctica,-71.5,35.66666667,0.00385
1974,Yamato 74043,Antarctica,-71.5,35.66666667,0.0052
1974,Yamato 74044,Antarctica,-71.78333333,36.18333333,0.0518
1974,Yamato 74045,Antarctica,-71.5,35.66666667,0.0398
1974,Yamato 74046,Antarctica,-71.5,35.66666667,0.00222
1974,Yamato 74047,Antarctica,-71.5,35.66666667,0.0021
1974,Yamato 74048,Antarctica,-71.8,36.28333333,0.0671
1974,Yamato 74049,Antarctica,-71.5,35.66666667,0.0131
1974,Yamato 74050,Antarctica,-71.5,35.66666667,0.0189
1974,Yamato 74051,Antarctica,-71.5,35.66666667,0.0209
