year,year,month,day,hour,positive,count,context_c,weibo_c,context,weibo
2011,2011,7,4,0,0.32036,1,,0 ,,
2011,2011,7,4,1,0.967231,1,,0 ,,
2011,2011,7,4,15,0.108288,1,,0 ,,
2011,2011,7,4,19,0.500171,1,,0 ,,
2011,2011,7,4,22,0.528140667,3,,0 ,,
2011,2011,7,4,23,0.2291345,2,,0 ,,
2011,2011,7,5,2,0.0550356,1,,0 ,,
2011,2011,7,5,14,0.152855,1,,0 ,,
2011,2011,7,5,15,0.789531,1,,0 ,,
2011,2011,7,5,17,0.4937832,5,,0 ,,
2011,2011,7,5,18,0.115695,1,我不知道我为什么得这个病我不知道能不能不要再问我 ,1 ,I don't know why I have this disease. I really don't know. Please stop asking me.,1
2011,2011,7,5,20,0.514661,1,,0 ,,
2011,2011,7,6,1,0.1978939,4,,0 ,,
2011,2011,7,6,11,0.530316,1,,0 ,,
2011,2011,7,6,15,0.1349029,3,,0 ,,
2011,2011,7,6,20,0.54,1,,0 ,,
2011,2011,7,6,22,0.0159564,1,,0 ,,
2011,2011,7,6,23,0.6785855,2,,0 ,,
2011,2011,7,7,0,0.578503,1,,0 ,,
2011,2011,7,7,1,0.465562333,3,,0 ,,
2011,2011,7,7,11,0.370859,1,,0 ,,
2011,2011,7,7,18,0.149944,1,,0 ,,
2011,2011,7,7,22,0.0959537,1,,0 ,,
2011,2011,7,8,0,0.414958,3,,0 ,,
2011,2011,7,8,1,0.6878255,2,,0 ,,
2011,2011,7,8,9,0.0567763,1,,0 ,,
2011,2011,7,8,14,0.857959,1,,0 ,,
2011,2011,7,8,17,0.2187255,2,,0 ,,
2011,2011,7,8,19,0.654855667,3,,0 ,,
2011,2011,7,8,21,0.4338465,2,,0 ,,
2011,2011,7,9,0,0.402542,2,讨那么多人的欢喜也不如讨自己欢喜来得重要,1 ,Making so many people happy is still not as important as making yourself happy.,1
2011,2011,7,9,2,0.0373596,1,,0 ,,
2011,2011,7,9,8,0.546841,3,,0 ,,
2011,2011,7,9,10,0.50167,1,,0 ,,
2011,2011,7,9,12,0.26407,1,,0 ,,
2011,2011,7,9,21,0.579398,1,,0 ,,
2011,2011,7,9,23,0.4226505,2,,0 ,,
2011,2011,7,10,0,0.0788977,1,,0 ,,
2011,2011,7,10,11,0.439283,2,,0 ,,
2011,2011,7,10,15,0.0396979,1,,0 ,,
2011,2011,7,10,16,0.3382427,2,,0 ,,
